"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1","1","Bijan Robinson","ATL","RB1","","",""
"2","1","Jahmyr Gibbs","DET","RB2","","",""
"3","1","Ja'Marr Chase","CIN","WR1","","",""
"4","1","Josh Allen","BUF","QB1","","",""
"5","1","Jonathan Taylor","IND","RB3","","",""
"6","1","Christian McCaffrey","SF","RB4","","",""
"7","1","James Cook","BUF","RB5","","",""
"8","1","Puka Nacua","LAR","WR2","","",""
"9","1","Amon-Ra St. Brown","DET","WR3","","",""
"10","1","Jaxon Smith-Njigba","SEA","WR4","","",""
"11","1","Derrick Henry","BAL","RB6","","",""
"12","1","Drake Maye","NE","QB2","","",""
"13","2","De'Von Achane","MIA","RB7","","",""
"14","2","CeeDee Lamb","DAL","WR5","","",""
"15","2","Justin Jefferson","MIN","WR6","","",""
"16","2","Lamar Jackson","BAL","QB3","","",""
"17","2","Saquon Barkley","PHI","RB8","","",""
"18","2","Ashton Jeanty","LV","RB9","","",""
"19","2","Omarion Hampton","LAC","RB10","","",""
"20","2","Kyren Williams","LAR","RB11","","",""
"21","2","Joe Burrow","CIN","QB4","","",""
"22","2","Jeremiyah Love","ARI","RB12","","",""
"23","2","Chase Brown","CIN","RB13","","",""
"24","2","A.J. Brown","NE","WR7","","",""
"25","3","Jayden Daniels","WAS","QB5","","",""
"26","3","Caleb Williams","CHI","QB6","","",""
"27","3","Drake London","ATL","WR8","","",""
"28","3","Kenneth Walker","KC","RB14","","",""
"29","3","Josh Jacobs","GB","RB15","","",""
"30","3","Brock Bowers","LV","TE1","","",""
"31","3","Trey McBride","ARI","TE2","","",""
"32","3","George Pickens","DAL","WR9","","",""
"33","3","Nico Collins","HOU","WR10","","",""
"34","3","Breece Hall","NYJ","RB16","","",""
"35","3","Malik Nabers","NYG","WR11","","",""
"36","3","Jalen Hurts","PHI","QB7","","",""
"37","4","Chris Olave","NO","WR12","","",""
"38","4","Rashee Rice","KC","WR13","","",""
"39","4","Justin Herbert","LAC","QB8","","",""
"40","4","Bucky Irving","TB","RB17","","",""
"41","4","DeVonta Smith","PHI","WR14","","",""
"42","4","Javonte Williams","DAL","RB18","","",""
"43","4","Colston Loveland","CHI","TE3","","",""
"44","4","Tee Higgins","CIN","WR15","","",""
"45","4","Travis Etienne","NO","RB19","","",""
"46","4","Cam Skattebo","NYG","RB20","","",""
"47","4","Jaxson Dart","NYG","QB9","","",""
"48","4","Tetairoa McMillan","CAR","WR16","","",""
"49","5","Garrett Wilson","NYJ","WR17","","",""
"50","5","Ladd McConkey","LAC","WR18","","",""
"51","5","Patrick Mahomes","KC","QB10","","",""
"52","5","TreVeyon Henderson","NE","RB21","","",""
"53","5","Dak Prescott","DAL","QB11","","",""
"54","5","Emeka Egbuka","TB","WR19","","",""
"55","5","Luther Burden","CHI","WR20","","",""
"56","5","Trevor Lawrence","JAX","QB12","","",""
"57","5","Zay Flowers","BAL","WR21","","",""
"58","5","Jaylen Waddle","DEN","WR22","","",""
"59","5","Bo Nix","DEN","QB13","","",""
"60","5","Bhayshul Tuten","JAX","RB22","","",""
"61","6","David Montgomery","HOU","RB23","","",""
"62","6","Quinshon Judkins","CLE","RB24","","",""
"63","6","Davante Adams","LAR","WR23","","",""
"64","6","D'Andre Swift","CHI","RB25","","",""
"65","6","Tyler Warren","IND","TE4","","",""
"66","6","Jaylen Warren","PIT","RB26","","",""
"67","6","Brock Purdy","SF","QB14","","",""
"68","6","DJ Moore","BUF","WR24","","",""
"69","6","Jameson Williams","DET","WR25","","",""
"70","6","Terry McLaurin","WAS","WR26","","",""
"71","6","RJ Harvey","DEN","RB27","","",""
"72","6","Jadarian Price","SEA","RB28","","",""
"73","7","Rhamondre Stevenson","NE","RB29","","",""
"74","7","Sam LaPorta","DET","TE5","","",""
